,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Export OF QUERY RESULTS FROM EyeOnWater
26088,1,5/8/2024 4:44:39 PM,1,5/8/2024 4:44:36 PM,48.830885,9.2160918,1025930,6246214,10,png,5/8/2024 2:46:37 PM,Android,EML-L29,b6e3791601afcbc7,5,,,6,21,0,67,australia,720,720,mertcan,260,21,3,75,0,6,0,0,https://eyeonwater.org/media/eyeonwater_upload/26088.png,?,0,1,,,,17.231331550786,,,,,,,0,324.87031374419,1,0,0,0,0,,0,17.231331550786,21,http://www.eyeonwater.org/media/eyeonwater_upload/26088.png,mertcan
26016,1,4/30/2024 3:28:00 PM,1,4/30/2024 3:27:58 PM,49.090704,9.4981186,1057325,6290266,0,png,4/30/2024 1:29:49 PM,Android,M2101K9G,1f6068d890b4da5d,2,,,17,17,0,0,australia,0,,,,,,50,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/26016.png,?,0,1,,,37.768606132514,39.80328294985,,,,,,35.135205347021,17,36.902523458552,17,0,0,0,0,37.768606132514,17,39.80328294985,16,http://www.eyeonwater.org/media/eyeonwater_upload/26016.png,
26015,1,4/30/2024 3:26:16 PM,1,4/30/2024 3:26:13 PM,49.0907173,9.4981192,1057325,6290268,0,png,4/30/2024 1:28:04 PM,Android,M2101K9G,1f6068d890b4da5d,4,,,18,18,0,0,australia,0,,,,,,0,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/26015.png,?,0,1,,,33.20920520555,36.113004518479,,,,,,30.977250071753,18,33.716717699358,18,0,0,0,0,33.20920520555,18,36.113004518479,17,http://www.eyeonwater.org/media/eyeonwater_upload/26015.png,
26014,1,4/30/2024 3:26:16 PM,1,4/30/2024 3:17:25 PM,48.6828026,9.0127067,1003289,6221210,10,png,9/21/2023 3:19:49 PM,Android,Pixel 3a,778ba90dd5718e7f,1,,,14,21,0,0.58,australia,254,254,reiner,310,26,3,75,0,7,0,0,https://eyeonwater.org/media/eyeonwater_upload/26014.png,?,0,1,,,,18.587605279092,,,,,,,0,324.87031374419,1,0,0,0,0,,0,18.587605279092,21,http://www.eyeonwater.org/media/eyeonwater_upload/26014.png,reiner
26013,1,4/30/2024 3:26:16 PM,1,4/30/2024 3:17:16 PM,48.6828026,9.0127067,1003289,6221210,10,png,9/21/2023 3:19:49 PM,Android,Pixel 3a,778ba90dd5718e7f,1,,,14,21,0,0.58,australia,254,254,reiner,310,26,3,75,0,7,0,0,https://eyeonwater.org/media/eyeonwater_upload/26013.png,?,0,1,,,,18.587605279092,,,,,,,0,324.87031374419,1,0,0,0,0,,0,18.587605279092,21,http://www.eyeonwater.org/media/eyeonwater_upload/26013.png,reiner
26012,1,4/30/2024 3:17:17 PM,1,4/30/2024 3:17:14 PM,49.0907191,9.4981284,1057326,6290268,10,png,4/30/2024 1:19:04 PM,Android,Pixel 3a,778ba90dd5718e7f,0,,,17,5,0,0,australia,254,254,reiner,310,26,3,75,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/26012.png,?,0,1,,,,173.85957056145,,,,,,,0,304.48580566024,1,0,0,0,0,,0,173.85957056145,5,http://www.eyeonwater.org/media/eyeonwater_upload/26012.png,reiner
26009,1,4/30/2024 2:47:57 PM,1,4/30/2024 10:22:04 AM,48.476803067597,9.1848544051725,1022453,6186547,0,png,4/30/2024 8:23:54 AM,iOS,"iPhone12,1",16EA36E2-88E1-48FA-B266-0A93B0486470,0,,,16,15,0,0,eowcolor,0,,,,,,25,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/26009.png,?,0,1,,,49.977539102305,52.307591387837,,,,,,48.807440304265,15,49.896267682384,15,0,0,0,0,49.977539102305,15,52.307591387837,14,http://www.eyeonwater.org/media/eyeonwater_upload/26009.png,
26008,1,4/30/2024 10:21:24 AM,1,4/30/2024 10:21:22 AM,48.476795347421,9.1848393943163,1022451,6186546,0,png,4/30/2024 8:22:51 AM,iOS,"iPhone14,7",6F878BE8-A386-4F0C-B7B5-6E7BBF2A5609,-7,,,17,15,0,0,eowcolor,0,,,,,,0,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/26008.png,?,0,1,,,45.340945222298,47.259908149177,,,,,,43.251955822897,16,44.860524346042,16,0,0,0,0,45.340945222298,15,47.259908149177,15,http://www.eyeonwater.org/media/eyeonwater_upload/26008.png,
26007,1,4/30/2024 10:20:32 AM,1,4/30/2024 10:20:29 AM,48.47707972558,9.1813073093157,1022058,6186594,0,png,4/30/2024 8:22:19 AM,iOS,"iPhone12,1",16EA36E2-88E1-48FA-B266-0A93B0486470,0,,,16,15,0,0,eowcolor,0,,,,,,25,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/26007.png,?,0,1,,,50.289774974175,52.238565807691,,,,,,48.143886464182,15,49.825529346926,15,0,0,0,0,50.289774974175,15,52.238565807691,14,http://www.eyeonwater.org/media/eyeonwater_upload/26007.png,
25995,1,4/25/2024 11:43:01 AM,1,4/25/2024 11:23:54 AM,48.772867452016,9.1648911501591,1020231,6236409,0,png,4/25/2024 9:25:38 AM,iOS,"iPhone14,5",B98A5BC8-01DA-4BFD-A02F-CA22F5BB0C6F,8,,,17,13,0,0.78,australia,0,,,,,,100,0,6.75,0,0,https://eyeonwater.org/media/eyeonwater_upload/25995.png,?,0,1,,,61.676742937699,64.777060609775,,,,,,60.109594059108,13,59.508499723353,13,0,0,0,0,61.676742937699,13,64.777060609775,12,http://www.eyeonwater.org/media/eyeonwater_upload/25995.png,
25994,1,4/25/2024 11:23:37 AM,1,4/25/2024 11:23:36 AM,48.7731375,9.1656467,1020315,6236454,10,png,4/25/2024 9:25:19 AM,Android,SM-G991B,4c6e7ed3819a0f3b,1,,,14,12,0,0.62,australia,794,794,fauserja,250,20,3,100,0,7,0,0,https://eyeonwater.org/media/eyeonwater_upload/25994.png,?,0,1,,,65.097636476824,67.539670391781,,,,,,61.396907300706,13,64.064182539808,12,0,0,0,0,65.097636476824,12,67.539670391781,12,http://www.eyeonwater.org/media/eyeonwater_upload/25994.png,fauserja
25993,1,4/25/2024 11:22:45 AM,1,4/25/2024 11:22:40 AM,48.772720433817,9.1650914400901,1020253,6236384,0,png,4/25/2024 9:24:24 AM,iOS,"iPhone14,5",B98A5BC8-01DA-4BFD-A02F-CA22F5BB0C6F,3,,,16,13,0,0,australia,0,,,,,,100,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/25993.png,?,0,1,,,60.645000313066,61.575526336589,,,,,,58.160089739208,13,55.864323593017,14,0,0,0,0,60.645000313066,13,61.575526336589,13,http://www.eyeonwater.org/media/eyeonwater_upload/25993.png,
25992,1,4/25/2024 11:22:45 AM,1,4/25/2024 11:15:59 AM,48.773063368253,9.1653764244526,1020285,6236442,0,png,4/25/2024 9:17:42 AM,iOS,"iPhone14,5",B98A5BC8-01DA-4BFD-A02F-CA22F5BB0C6F,15,,,15,11,0,0,australia,0,,,,,,50,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/25992.png,?,0,1,,,,71.414188134498,,,,,,,0,67.513889234598,12,0,0,0,0,,0,71.414188134498,11,http://www.eyeonwater.org/media/eyeonwater_upload/25992.png,
25991,1,4/25/2024 11:22:45 AM,1,4/25/2024 11:15:56 AM,48.772967,9.1639207,1020122,6236426,10,png,4/25/2024 9:17:39 AM,Android,motorola edge 20,174e52765fc8ab1d,0,,,15,17,0,0.56,australia,1016,1016,Schloss2,80,3,1,100,0,6.7,0,0,https://eyeonwater.org/media/eyeonwater_upload/25991.png,?,0,1,,,,38.44304628517,,,,,,,0,28.239209513855,19,0,0,0,0,,0,38.44304628517,17,http://www.eyeonwater.org/media/eyeonwater_upload/25991.png,Schloss2
25990,1,4/25/2024 11:15:58 AM,1,4/25/2024 11:15:55 AM,48.7723898,9.164195,1020153,6236328,10,png,4/25/2024 9:17:39 AM,Android,SM-A146P,08ae12f764eab2a7,11,,,9,14,0,0,eowcolor,1525,1525,lol_ldou,70,2,1,0,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/25990.png,?,0,1,,,,52.279720163292,,,,,,,0,42.351598460675,16,0,0,0,0,,0,52.279720163292,14,http://www.eyeonwater.org/media/eyeonwater_upload/25990.png,lol_ldou
25989,1,4/25/2024 11:15:58 AM,1,4/25/2024 11:15:23 AM,48.773025674356,9.1653569266913,1020282,6236435,0,png,4/25/2024 9:17:07 AM,iOS,"iPhone12,1",F64E9824-76B1-43EF-94FB-C1EA3DF5695E,0,,,16,14,0,0.56,australia,0,,,,,,100,0,6.75,0,0,https://eyeonwater.org/media/eyeonwater_upload/25989.png,?,0,1,,,56.042432878795,58.57837760208,,,,,,53.432843560307,14,56.203633964536,14,0,0,0,0,56.042432878795,14,58.57837760208,13,http://www.eyeonwater.org/media/eyeonwater_upload/25989.png,
25988,1,4/25/2024 11:15:58 AM,1,4/25/2024 11:15:18 AM,48.772742935634,9.1648948725466,1020231,6236388,10,png,4/25/2024 9:17:01 AM,iOS,"iPhone10,5",BBDD5919-4AA9-4AED-84D7-C5893EBA9734,4,,,14,12,0,0,australia,1518,1518,miahelenberger@gmail.com,60,1,1,75,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/25988.png,?,0,1,,,,64.056430077939,,,,,,,0,106.5103805986,8,0,0,0,0,,0,64.056430077939,12,http://www.eyeonwater.org/media/eyeonwater_upload/25988.png,miahelenberger@gmail.com
25987,1,4/25/2024 11:15:58 AM,1,4/25/2024 11:15:17 AM,48.772890938861,9.1653277786099,1020279,6236413,0,png,4/25/2024 9:17:01 AM,iOS,"iPhone12,1",90974D25-7DB6-4D49-BB9F-BDCEA6D943F9,3,,,11,12,0,0.56,australia,0,,,,,,100,0,6.75,0,0,https://eyeonwater.org/media/eyeonwater_upload/25987.png,?,0,1,,,67.115456199615,69.320420779499,,,,,,61.677053578664,13,63.354497260608,12,0,0,0,0,67.115456199615,12,69.320420779499,11,http://www.eyeonwater.org/media/eyeonwater_upload/25987.png,
25986,1,4/25/2024 11:15:17 AM,1,4/25/2024 11:15:15 AM,48.773346866683,9.165472682133,1020295,6236490,10,png,4/25/2024 9:16:59 AM,iOS,"iPhone13,3",D43B3807-2E62-4812-BC5D-5211BD9B7AAE,-4,,,16,14,0,0.56,australia,695,695,Netti,410,39,3,100,0,6.75,0,0,https://eyeonwater.org/media/eyeonwater_upload/25986.png,?,0,1,,,56.211086086657,57.44802518755,,,,,,54.2299024015,14,55.480793497893,14,0,0,0,0,56.211086086657,14,57.44802518755,13,http://www.eyeonwater.org/media/eyeonwater_upload/25986.png,Netti
25985,1,4/25/2024 11:15:17 AM,1,4/25/2024 11:13:18 AM,48.772604425942,9.1645708622659,1020195,6236364,0,png,4/25/2024 9:15:01 AM,iOS,"iPhone13,2",E5BFDE8B-F6C0-4FE9-828D-E2A9E5270A9C,4,,,15,13,0,0,australia,0,,,,,,50,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/25985.png,?,0,1,,,,60.891333841234,,,,,,,0,45.569595978144,15,0,0,0,0,,0,60.891333841234,13,http://www.eyeonwater.org/media/eyeonwater_upload/25985.png,
25984,1,4/25/2024 11:15:17 AM,1,4/25/2024 11:13:18 AM,48.773129265426,9.1653705871574,1020284,6236453,0,png,4/25/2024 9:15:01 AM,iOS,"iPhone13,2",17F5C2F0-C54A-4BCC-8531-438F7D7BB276,5,,,15,12,0,0,australia,0,,,,,,50,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/25984.png,?,0,1,,,,65.771241416073,,,,,,,0,55.770285657703,14,0,0,0,0,,0,65.771241416073,12,http://www.eyeonwater.org/media/eyeonwater_upload/25984.png,
25983,1,4/25/2024 11:13:05 AM,1,4/25/2024 11:13:02 AM,48.77317148345,9.1658494870382,1020337,6236460,0,png,4/25/2024 9:14:46 AM,iOS,"iPhone14,5",B98A5BC8-01DA-4BFD-A02F-CA22F5BB0C6F,6,,,15,11,0,0,australia,0,,,,,,0,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/25983.png,?,0,1,,,,68.185663461811,,,,,,,0,59.323931094032,13,0,0,0,0,,0,68.185663461811,11,http://www.eyeonwater.org/media/eyeonwater_upload/25983.png,
25982,1,4/25/2024 11:13:05 AM,1,4/25/2024 11:12:54 AM,48.7732552,9.1659367,1020347,6236474,10,png,4/25/2024 9:14:38 AM,Android,SM-A146P,08ae12f764eab2a7,11,,,1,14,0,0,eowcolor,1525,1525,lol_ldou,70,2,1,0,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/25982.png,?,0,1,,,,51.204305383022,,,,,,,0,43.58863945518,16,0,0,0,0,,0,51.204305383022,14,http://www.eyeonwater.org/media/eyeonwater_upload/25982.png,lol_ldou
25981,1,4/25/2024 11:12:30 AM,1,4/25/2024 11:12:28 AM,48.773031222731,9.1651634122184,1020261,6236436,0,png,4/25/2024 9:14:11 AM,iOS,"iPhone14,5",B98A5BC8-01DA-4BFD-A02F-CA22F5BB0C6F,1,,,16,12,0,0,australia,0,,,,,,0,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/25981.png,?,0,1,,,,62.744650777343,,,,,,,0,50.6734601649,14,0,0,0,0,,0,62.744650777343,12,http://www.eyeonwater.org/media/eyeonwater_upload/25981.png,
25980,1,4/25/2024 11:11:52 AM,1,4/25/2024 11:11:50 AM,48.772991855656,9.1652100131063,1020266,6236430,0,png,4/25/2024 9:13:34 AM,iOS,"iPhone14,5",B98A5BC8-01DA-4BFD-A02F-CA22F5BB0C6F,13,1,,15,11,0,0,australia,0,,,,,,0,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/25980.png,?,0,1,,,,72.057367427017,,,,,,,0,67.754240877339,12,0,0,0,0,,0,72.057367427017,11,http://www.eyeonwater.org/media/eyeonwater_upload/25980.png,
25979,1,4/25/2024 11:10:52 AM,1,4/25/2024 11:10:49 AM,48.772687576757,9.1650807112541,1020252,6236378,0,png,4/25/2024 9:12:32 AM,iOS,"iPhone13,1",AC5A3FA8-89F1-44C0-B99E-1853973C5066,6,,,14,12,0,0,australia,0,,,,,,50,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/25979.png,?,0,1,,,,67.820684200799,,,,,,,0,62.600842929685,12,0,0,0,0,,0,67.820684200799,12,http://www.eyeonwater.org/media/eyeonwater_upload/25979.png,
25978,1,4/25/2024 11:10:52 AM,1,4/25/2024 11:09:22 AM,48.7726613,9.1649522,1020237,6236374,10,png,4/25/2024 9:11:06 AM,Android,SM-G991B,4c6e7ed3819a0f3b,1,,,14,11,0,0.56,australia,794,794,fauserja,250,20,3,100,0,6.75,0,0,https://eyeonwater.org/media/eyeonwater_upload/25978.png,?,0,1,,,70.001092256124,71.191563183485,,,,,,68.651054171572,11,67.157961085755,12,0,0,0,0,70.001092256124,11,71.191563183485,11,http://www.eyeonwater.org/media/eyeonwater_upload/25978.png,fauserja
25977,1,4/25/2024 11:07:50 AM,1,4/25/2024 11:07:46 AM,48.7730762,9.1656207,1020312,6236444,10,png,4/25/2024 9:09:30 AM,Android,SM-G991B,4c6e7ed3819a0f3b,0,,,12,11,0,0,australia,794,794,fauserja,250,20,3,100,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/25977.png,?,0,1,,,72.75705008709,71.45563718875,,,,,,,0,68.084401243656,11,0,0,0,0,72.75705008709,11,71.45563718875,11,http://www.eyeonwater.org/media/eyeonwater_upload/25977.png,fauserja
25962,1,4/23/2024 10:05:06 AM,1,4/23/2024 10:05:04 AM,48.4770836,9.1850583,1022476,6186594,0,png,4/23/2024 8:06:35 AM,Android,HRY-LX1,6d022fb9287da044,0,,,15,14,0,0,eowcolor,0,,,,,,75,10,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/25962.png,?,0,1,,,,52.746395507807,,,,,,,0,48.107685577974,15,0,0,0,0,,0,52.746395507807,14,http://www.eyeonwater.org/media/eyeonwater_upload/25962.png,
25849,1,4/11/2024 10:44:41 AM,1,4/11/2024 10:44:37 AM,48.476942607302,9.180067626795,1021920,6186571,0,png,4/11/2024 8:46:12 AM,iOS,"iPhone14,7",CB160E23-5241-4D17-BC26-36BC441DB082,19,,,16,14,0,0,eowcolor,0,,,,,,0,14,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/25849.png,?,0,1,,,51.633914939376,52.759833897944,,,,,,,0,48.141379682791,15,0,0,0,0,51.633914939376,14,52.759833897944,14,http://www.eyeonwater.org/media/eyeonwater_upload/25849.png,
25733,1,3/22/2024 1:40:01 PM,1,3/22/2024 1:39:59 PM,48.772835,9.1640697,1020139,6236403,0,png,3/22/2024 12:41:35 PM,Android,POT-LX1,e31a5beafb1c0056,15,,,18,19,0,0.65,australia,0,,,,,,100,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/25733.png,?,0,1,,,28.833322581382,30.376849405195,,,,,,24.217936951218,20,25.624282176724,20,0,0,0,0,28.833322581382,19,30.376849405195,19,http://www.eyeonwater.org/media/eyeonwater_upload/25733.png,
25693,1,3/19/2024 7:22:13 PM,1,3/19/2024 7:22:10 PM,48.772937219154,9.1647507506145,1020215,6236421,0,png,3/19/2024 12:07:04 PM,iOS,"iPad11,6",F4632B6A-8938-46C9-8C54-481BE74289B2,0,,,10,15,0,0.43,australia,0,,,,,,50,0,6.75,0,0,https://eyeonwater.org/media/eyeonwater_upload/25693.png,?,0,1,,,48.409006788655,53.935587000886,,,,,,,0,40.105988970721,16,0,0,0,0,48.409006788655,15,53.935587000886,14,http://www.eyeonwater.org/media/eyeonwater_upload/25693.png,
25684,1,3/19/2024 1:06:49 PM,1,3/19/2024 1:06:47 PM,48.772577575968,9.1647522660285,1020215,6236360,0,png,3/19/2024 12:08:20 PM,iOS,"iPhone12,1",C917DF4E-85D3-489B-B3BC-7C4487AECBD3,3,,,14,12,0,0,australia,0,,,,,,25,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/25684.png,?,0,1,,,65.62594487039,68.107469392716,,,,,,62.51079742355,12,65.20405985642,12,0,0,0,0,65.62594487039,12,68.107469392716,11,http://www.eyeonwater.org/media/eyeonwater_upload/25684.png,
25644,1,3/13/2024 3:17:56 PM,1,3/13/2024 3:17:54 PM,48.7732304,9.1647792,1020218,6236470,0,png,3/13/2024 2:19:19 PM,Android,POT-LX1,e31a5beafb1c0056,5,,,18,18,0,0.61,australia,0,,,,,,100,0,7,0,0,https://eyeonwater.org/media/eyeonwater_upload/25644.png,?,0,1,,,,31.151548155567,,,,,,,0,16.730818835273,21,0,0,0,0,,0,31.151548155567,18,http://www.eyeonwater.org/media/eyeonwater_upload/25644.png,
25637,1,3/12/2024 5:40:55 PM,1,3/12/2024 5:40:53 PM,48.772523014691,9.1649118170516,1020233,6236351,0,png,3/12/2024 10:56:54 AM,iOS,"iPad11,6",F4632B6A-8938-46C9-8C54-481BE74289B2,0,,1,10,16,0,45,australia,0,,,,,,100,10,6,0,0,https://eyeonwater.org/media/eyeonwater_upload/25637.png,?,0,1,,,,40.677983849083,,,,,,,0,326.54938395176,1,0,0,0,0,,0,40.677983849083,16,http://www.eyeonwater.org/media/eyeonwater_upload/25637.png,
25634,1,3/12/2024 11:55:31 AM,1,3/12/2024 11:55:27 AM,48.772556808415,9.1643925743239,1020175,6236356,0,png,3/12/2024 10:56:48 AM,iOS,"iPhone13,2",A81E774F-B655-44A9-9C11-D357967EC50B,6,,,14,10,0,0.52,australia,0,,,,,,100,0,8,0,0,https://eyeonwater.org/media/eyeonwater_upload/25634.png,?,0,1,,,,77.07946900201,,,,,,,0,106.8429398739,8,0,0,0,0,,0,77.07946900201,10,http://www.eyeonwater.org/media/eyeonwater_upload/25634.png,
25633,1,3/12/2024 11:55:31 AM,1,3/12/2024 11:54:23 AM,48.772515251175,9.1646497848325,1020204,6236349,0,png,3/12/2024 10:55:46 AM,iOS,"iPhone12,1",C917DF4E-85D3-489B-B3BC-7C4487AECBD3,2,,,13,13,0,0,australia,0,,,,,,0,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/25633.png,?,0,1,,,,60.519681994108,,,,,,,0,161.27761261211,6,0,0,0,0,,0,60.519681994108,13,http://www.eyeonwater.org/media/eyeonwater_upload/25633.png,
25632,1,3/12/2024 11:54:07 AM,1,3/12/2024 11:54:04 AM,48.772928380344,9.1654397018513,1020292,6236419,0,png,3/12/2024 10:55:27 AM,iOS,"iPhone12,1",C917DF4E-85D3-489B-B3BC-7C4487AECBD3,0,,,12,13,0,0,australia,0,,,,,,100,0,0,0,0,https://eyeonwater.org/media/eyeonwater_upload/25632.png,?,0,1,,,60.315195017111,62.755862323766,,,,,,52.850505013142,14,99.849312812895,8,0,0,0,0,60.315195017111,13,62.755862323766,12,http://www.eyeonwater.org/media/eyeonwater_upload/25632.png,
25611,1,3/7/2024 8:24:53 PM,2,3/6/2024 2:11:16 PM,48.7731694,9.1656831,1020319,6236460,0,png,3/6/2024 1:12:31 PM,Android,POT-LX1,e31a5beafb1c0056,3,1,,17,19,0,0.48,australia,0,,,,,,100,0,7,0,0,https://eyeonwater.org/media/eyeonwater_upload/25611.png,?,1,1,,,,27.650502838484,,,,,,,0,10.233760368298,21,0,0,0,0,,0,27.650502838484,19,http://www.eyeonwater.org/media/eyeonwater_upload/25611.png,
25610,1,3/6/2024 2:11:04 PM,1,3/6/2024 2:11:02 PM,48.772559656357,9.1646851385411,1020208,6236357,10,png,3/6/2024 1:12:18 PM,iOS,"iPhone12,1",2FFAB310-6580-4CFB-92B3-1FFA9ED4FE0E,7,1,,16,17,0,0.57,australia,1434,1434,Mika,80,3,1,100,0,6.75,0,0,https://eyeonwater.org/media/eyeonwater_upload/25610.png,?,0,1,,,37.615403894188,33.140575192641,,,,,,,0,14.510858875875,21,0,0,0,0,37.615403894188,17,33.140575192641,18,http://www.eyeonwater.org/media/eyeonwater_upload/25610.png,Mika
